,vel 0,Pres 0,FMat 0,FMatRem 0,Visc 0,vel 1,Pres 1,FMat 1,FMatRem 1,Visc 1
1691,-6.7048983080585e-08,321200.04665503855,-0.17236242095831597,-0.17179738849678128,0.002,-6.713697858835189e-08,321300.8713496712,-0.17179735492829198,-0.17109919290093112,0.002
1692,-6.692329700209584e-08,321195.08191171807,-0.1724623191669182,-0.17189726008783926,0.002,-6.701343578380893e-08,321295.9076536618,-0.17189722658112136,-0.1711990602310182,0.002
1693,-6.679750463711165e-08,321190.12804782065,-0.17256221749356276,-0.1719971316788972,0.002,-6.6889783655531e-08,321290.95483449043,-0.17199709823400539,-0.17129892756110526,0.002
1694,-6.667160610906726e-08,321185.185076055,-0.17266211593804473,-0.1720970032699552,0.002,-6.676602232995733e-08,321286.0129048649,-0.17209696988694403,-0.1713987948911923,0.002
1695,-6.654560153620891e-08,321180.2530091146,-0.1727620145001598,-0.1721968748610132,0.002,-6.664215192859166e-08,321281.081877478,-0.17219684153993725,-0.17149866222127938,0.002
1696,-6.64194910385701e-08,321175.3318596785,-0.17286191317970398,-0.17229674645207116,0.002,-6.651817257449794e-08,321276.1617650078,-0.17229671319298487,-0.17159852955136642,0.002
1697,-6.629327473741181e-08,321170.4216404102,-0.17296181197647384,-0.17239661804312914,0.002,-6.639408439252099e-08,321271.25258011726,-0.17239658484608694,-0.17169839688145352,0.002
1698,-6.616695275142782e-08,321165.5223639586,-0.17306171089026645,-0.1724964896341871,0.002,-6.626988750493031e-08,321266.3543354542,-0.17249645649924333,-0.17179826421154057,0.002
1699,-6.604052520137222e-08,321160.63404295745,-0.1731616099208793,-0.17259636122524508,0.002,-6.614558203521997e-08,321261.4670436517,-0.17259632815245407,-0.1718981315416276,0.002
1700,-6.591399220748655e-08,321155.75669002556,-0.17326150906811033,-0.17269623281630306,0.002,-6.602116810721615e-08,321256.59071732766,-0.17269619980571901,-0.17199799887171469,0.002
1701,-6.578735389006851e-08,321150.89031776675,-0.17336140833175798,-0.17279610440736107,0.002,-6.589664584390773e-08,321251.7253690852,-0.17279607145903814,-0.17209786620180173,0.002
1702,-6.566061036887308e-08,321146.0349387698,-0.1734613077116211,-0.172895975998419,0.002,-6.577202411263017e-08,321246.87101151235,-0.17289594311240694,-0.1721977335318888,0.002
1703,-6.553376176399249e-08,321141.19056560873,-0.17356120720749915,-0.17299584762554182,0.002,-6.564732846582113e-08,321242.0276571822,-0.1729958148018776,-0.17229760086197587,0.002
1704,-6.540680819557341e-08,321136.35721084237,-0.17366110681919184,-0.1730957193941011,0.002,-6.552255166821645e-08,321237.19531865284,-0.17309568663282526,-0.17239746819206292,0.002
1705,-6.527974978294158e-08,321131.5348870148,-0.1737610065464995,-0.17319559131064247,0.002,-6.539766822348852e-08,321232.3740084676,-0.17319555861180835,-0.17249733552214996,0.002
1706,-6.515258664661824e-08,321126.7236066551,-0.17386090638922286,-0.17329546337491009,0.002,-6.527267661066915e-08,321227.5637391547,-0.1732954307385718,-0.17259720285223706,0.002
1707,-6.502531890632074e-08,321121.92338227737,-0.1739608063471631,-0.17339533558664863,0.002,-6.514757695368212e-08,321222.7645232275,-0.17339530301286016,-0.1726970701823241,0.002
1708,-6.489794668181126e-08,321117.13422638096,-0.17406070642012186,-0.17349520794560355,0.002,-6.502236937557671e-08,321217.9763731844,-0.17349517543441886,-0.17279693751241118,0.002
1709,-6.477047009348679e-08,321112.35615145013,-0.17416060660790125,-0.1735950804515206,0.002,-6.489705400063554e-08,321213.199301509,-0.1735950480029936,-0.17289680484249823,0.002
1710,-6.464288926060333e-08,321107.5891699543,-0.17426050691030387,-0.17369495310414643,0.002,-6.477163095175377e-08,321208.4333206698,-0.17369492071833095,-0.17299667217258533,0.002
1711,-6.45152043033742e-08,321102.83329434803,-0.17436040732713265,-0.173794825903228,0.002,-6.464610035299831e-08,321203.6784431208,-0.17379479358017783,-0.17309653950267231,0.002
1712,-6.4387415341161e-08,321098.0885370709,-0.17446030785819114,-0.17389469884851302,0.002,-6.452046232852402e-08,321198.9346813006,-0.17389466658828187,-0.17319640683275941,0.002
1713,-6.425952249366484e-08,321093.3549105478,-0.17456020850328316,-0.1739945719397497,0.002,-6.43947170013608e-08,321194.20204763336,-0.1739945397423912,-0.17329627416284646,0.002
1714,-6.413152588066289e-08,321088.6324271885,-0.17466010926221312,-0.1740944451766869,0.002,-6.426886449486836e-08,321189.48055452807,-0.17409441304225465,-0.17339614149293348,0.002
1715,-6.400342562167067e-08,321083.9210993882,-0.1747600101347858,-0.17419431855907397,0.002,-6.414290493334227e-08,321184.7702143792,-0.1741942864876215,-0.17349600882302055,0.002
1716,-6.387522183741428e-08,321079.22093952703,-0.17485991112080648,-0.17429419208666092,0.002,-6.401683844053452e-08,321180.07103956584,-0.1742941600782417,-0.17359587615310765,0.002
1717,-6.374691464660599e-08,321074.5319599702,-0.17495981222008086,-0.17439406575919825,0.002,-6.389066513935892e-08,321175.38304245274,-0.17439403381386567,-0.17369574348319472,0.002
1718,-6.361850416776399e-08,321069.8541730683,-0.175059713432415,-0.17449393957643705,0.002,-6.3764385153109e-08,321170.70623538946,-0.17449390769424447,-0.17379561081328176,0.002
1719,-6.348999052148065e-08,321065.18759115716,-0.17515961475761554,-0.17459381353812906,0.002,-6.363799860392672e-08,321166.04063071107,-0.17459378171912976,-0.17389547814336884,0.002
1720,-6.33613738272104e-08,321060.5322265575,-0.17525951619548955,-0.17469368764402643,0.002,-6.351150561664968e-08,321161.38624073775,-0.17469365588827362,-0.17399534547345585,0.002
1721,-6.323265420444645e-08,321055.88809157547,-0.1753594177458444,-0.1747935618938821,0.002,-6.338490631497064e-08,321156.74307777465,-0.17479353020142893,-0.17409521280354295,0.002
1722,-6.310383177247264e-08,321051.2551985022,-0.17545931940848802,-0.1748934362874493,0.002,-6.325820082235133e-08,321152.11115411227,-0.17489340465834888,-0.17419508013362997,0.002
1723,-6.297490665060886e-08,321046.6335596143,-0.17555922118322875,-0.17499331082448208,0.002,-6.313138926144659e-08,321147.4904820261,-0.17499327925878744,-0.17429494746371707,0.002
